canonical_key,operator,line,render_kind,shape_class,session,built,display_line_ids,parts,drawn_km,drawn_stations,n02_km,semantic_km,audit_stations,n02_station_features,audit_edges,anchor_pass,anchor_warning,anchor_error,topology_status,topology_findings,builder_notes,skip_edges_dropped,not_drawn_reason,official_km,official_stations,source_url,verdict,review_notes
西日本旅客鉄道␟福知山線,西日本旅客鉄道,福知山線,jr_conventional,ordinary_linear,23,yes,jp-西日本旅客鉄道-福知山線,1,106.79,30,109.23,101.746,30,30,29,30,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟紀勢線,西日本旅客鉄道,紀勢線,jr_conventional,ordinary_linear,23,yes,jp-西日本旅客鉄道-紀勢線,1,201.334,56,215.704,194.255,56,56,55,56,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟美祢線,西日本旅客鉄道,美祢線,jr_conventional,ordinary_linear,25,yes,jp-西日本旅客鉄道-美祢線,1,46.075,12,46.276,44.886,12,12,11,12,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟舞鶴線,西日本旅客鉄道,舞鶴線,jr_conventional,ordinary_linear,25,yes,jp-西日本旅客鉄道-舞鶴線,1,26.507,6,26.716,25.634,6,6,5,6,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟芸備線,西日本旅客鉄道,芸備線,jr_conventional,branched_terminal,23,yes,jp-西日本旅客鉄道-芸備線,1,159.072,44,159.51,155.406,44,44,43,44,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟草津線,西日本旅客鉄道,草津線,jr_conventional,branch_rejoins,25,yes,jp-西日本旅客鉄道-草津線,1,36.616,11,39.306,36.948,11,12,10,11,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟赤穂線,西日本旅客鉄道,赤穂線,jr_conventional,ordinary_linear,24,yes,jp-西日本旅客鉄道-赤穂線,1,57.432,19,57.748,54.551,19,19,18,19,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟越美北線,西日本旅客鉄道,越美北線,jr_conventional,ordinary_linear,24,yes,jp-西日本旅客鉄道-越美北線,1,52.367,22,52.574,50.846,22,22,21,22,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟関西空港線,西日本旅客鉄道,関西空港線,jr_conventional,ordinary_linear,26,yes,jp-西日本旅客鉄道-関西空港線,1,11.25,3,11.638,10.708,3,3,2,3,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟関西線,西日本旅客鉄道,関西線,jr_conventional,complex_multicycle,23,yes,jp-西日本旅客鉄道-関西線,1,114.861,33,117.996,110.52,33,34,33,33,0,0,PASS,,"法隆寺–三郷 skips 王寺 over the same track — service edge, not a second alignment",1,,,,,,
西日本旅客鉄道␟阪和線,西日本旅客鉄道,阪和線,jr_conventional,branched_terminal,24,yes,jp-西日本旅客鉄道-阪和線|jp-西日本旅客鉄道-阪和線-2,2,63.233,37,63.215,57.71,36,37,35,37,0,0,PASS,,"1 audited branch part(s) drawn as sibling display line(s) | 1 interval(s) differ from the audited distance: [('東羽衣', '鳳', 2.015, 1.506)]",0,,,,,,
西日本旅客鉄道␟高山線,西日本旅客鉄道,高山線,jr_conventional,ordinary_linear,25,yes,jp-西日本旅客鉄道-高山線,1,36.479,10,36.663,35.287,10,10,9,10,0,0,PASS,,,0,,,,,,
西日本鉄道␟天神大牟田線,西日本鉄道,天神大牟田線,private,ordinary_linear,46,yes,jp-西日本鉄道-天神大牟田線,1,75.001,50,75.274,68.94,50,50,49,50,0,0,PASS,,,0,,,,,,
西日本鉄道␟太宰府線,西日本鉄道,太宰府線,private,ordinary_linear,46,yes,jp-西日本鉄道-太宰府線,1,2.399,3,2.523,2.168,3,3,2,3,0,0,PASS,,,0,,,,,,
西日本鉄道␟甘木線,西日本鉄道,甘木線,private,ordinary_linear,46,yes,jp-西日本鉄道-甘木線,1,17.845,12,17.907,17.083,12,12,11,12,0,0,PASS,,,0,,,,,,
西日本鉄道␟貝塚線,西日本鉄道,貝塚線,private,ordinary_linear,46,yes,jp-西日本鉄道-貝塚線,1,11.161,10,11.32,10.215,10,10,9,10,0,0,PASS,,,0,,,,,,
西武鉄道␟国分寺線,西武鉄道,国分寺線,private,ordinary_linear,36,yes,jp-西武鉄道-国分寺線,1,7.713,5,7.952,7.145,5,5,4,5,0,0,PASS,,,0,,,,,,
西武鉄道␟多摩川線,西武鉄道,多摩川線,private,ordinary_linear,36,yes,jp-西武鉄道-多摩川線,1,8.017,6,8.109,7.412,6,6,5,6,0,0,PASS,,,0,,,,,,
西武鉄道␟多摩湖線,西武鉄道,多摩湖線,private,ordinary_linear,36,yes,jp-西武鉄道-多摩湖線,1,9.122,7,9.231,8.462,7,7,6,7,0,0,PASS,,,0,,,,,,
西武鉄道␟山口線,西武鉄道,山口線,agt,ordinary_linear,64,yes,jp-西武鉄道-山口線,1,2.898,3,3.01,2.702,3,3,2,3,0,0,PASS,,,0,,,,,,
西武鉄道␟拝島線,西武鉄道,拝島線,private,ordinary_linear,36,yes,jp-西武鉄道-拝島線,1,14.519,8,14.659,13.622,8,8,7,8,0,0,PASS,,,0,,,,,,
西武鉄道␟新宿線,西武鉄道,新宿線,private,ordinary_linear,36,yes,jp-西武鉄道-新宿線,1,47.494,29,47.795,43.197,29,29,28,29,0,0,PASS,,,0,,,,,,
西武鉄道␟池袋線,西武鉄道,池袋線,private,branched_terminal,36,yes,jp-西武鉄道-池袋線|jp-西武鉄道-池袋線-2,2,60.97,33,57.78,52.66,31,31,31,33,0,0,PASS,,trunk plus 1 branch(es) split from the graph (1 rejoining route(s)),0,,,,,,
西武鉄道␟狭山線,西武鉄道,狭山線,private,ordinary_linear,36,yes,jp-西武鉄道-狭山線,1,4.14,3,4.236,3.976,3,3,2,3,0,0,PASS,,,0,,,,,,
西武鉄道␟西武園線,西武鉄道,西武園線,private,ordinary_linear,36,yes,jp-西武鉄道-西武園線,1,2.495,2,2.643,2.346,2,2,1,2,0,0,PASS,,,0,,,,,,
西武鉄道␟西武有楽町線,西武鉄道,西武有楽町線,private,ordinary_linear,36,yes,jp-西武鉄道-西武有楽町線,1,2.554,3,2.76,2.115,3,3,2,3,0,0,PASS,,,0,,,,,,
西武鉄道␟西武秩父線,西武鉄道,西武秩父線,private,branched_terminal,36,yes,jp-西武鉄道-西武秩父線,1,18.805,6,19.033,18.079,6,6,5,6,0,0,PASS,,,0,,,,,,
西武鉄道␟豊島線,西武鉄道,豊島線,private,ordinary_linear,36,yes,jp-西武鉄道-豊島線,1,0.988,2,1.139,0.836,2,2,1,2,0,0,PASS,,,0,,,,,,
豊橋鉄道␟東田本線,豊橋鉄道,東田本線,tram,branched_terminal,62,yes,jp-豊橋鉄道-東田本線|jp-豊橋鉄道-東田本線-2,2,5.421,15,5.469,4.796,14,14,13,15,0,0,PASS,,1 audited branch part(s) drawn as sibling display line(s),0,,,,,,
豊橋鉄道␟渥美線,豊橋鉄道,渥美線,private,ordinary_linear,51,yes,jp-豊橋鉄道-渥美線,1,17.994,16,18.11,16.783,16,16,15,16,0,0,PASS,,,0,,,,,,
近江鉄道␟八日市線,近江鉄道,八日市線,private,ordinary_linear,48,yes,jp-近江鉄道-八日市線,1,9.255,7,9.334,8.817,7,7,6,7,0,0,PASS,,,0,,,,,,
近江鉄道␟多賀線,近江鉄道,多賀線,private,ordinary_linear,48,yes,jp-近江鉄道-多賀線,1,2.417,3,2.618,2.416,3,3,2,3,0,0,PASS,,,0,,,,,,
近江鉄道␟本線,近江鉄道,本線,private,ordinary_linear,48,yes,jp-近江鉄道-本線,1,47.7,25,47.77,45.701,25,25,24,25,0,0,PASS,,,0,,,,,,
近畿日本鉄道␟けいはんな線,近畿日本鉄道,けいはんな線,private,ordinary_linear,40,yes,jp-近畿日本鉄道-けいはんな線,1,18.44,8,18.6,17.394,8,8,7,8,0,0,PASS,,,0,,,,,,
近畿日本鉄道␟京都線,近畿日本鉄道,京都線,private,ordinary_linear,40,yes,jp-近畿日本鉄道-京都線,1,34.894,26,35.202,31.982,26,26,25,26,0,0,PASS,,,0,,,,,,
近畿日本鉄道␟信貴線,近畿日本鉄道,信貴線,private,ordinary_linear,41,yes,jp-近畿日本鉄道-信貴線,1,2.8,3,2.95,2.571,3,3,2,3,0,0,PASS,,,0,,,,,,
近畿日本鉄道␟南大阪線,近畿日本鉄道,南大阪線,private,ordinary_linear,40,yes,jp-近畿日本鉄道-南大阪線,1,39.628,28,39.834,36.102,28,28,27,28,0,0,PASS,,,0,,,,,,
近畿日本鉄道␟吉野線,近畿日本鉄道,吉野線,private,branched_terminal,40,yes,jp-近畿日本鉄道-吉野線,1,25.185,16,25.518,24.028,16,16,15,16,0,0,PASS,,,0,,,,,,
近畿日本鉄道␟名古屋線,近畿日本鉄道,名古屋線,private,ordinary_linear,40,yes,jp-近畿日本鉄道-名古屋線,1,78.877,44,78.996,73.656,44,44,43,44,0,0,PASS,,,0,,,,,,
近畿日本鉄道␟大阪線,近畿日本鉄道,大阪線,private,branch_rejoins,40,yes,jp-近畿日本鉄道-大阪線,1,107.354,48,109.771,101.858,48,49,47,48,0,0,PASS,,,0,,,,,,
近畿日本鉄道␟天理線,近畿日本鉄道,天理線,private,ordinary_linear,41,yes,jp-近畿日本鉄道-天理線,1,4.373,4,4.541,3.995,4,4,3,4,0,0,PASS,,,0,,,,,,
